"Relative Intensity (%) Run #1";"Output Voltage Ch H (V) Run #1";"Output Current Ch H (A) Run #1";"Angle (rad) Run #1";"Relative Intensity (%) Run #2";"Output Voltage Ch H (V) Run #2";"Output Current Ch H (A) Run #2";"Angle (rad) Run #2";"Relative Intensity (%) Run #3";"Output Voltage Ch H (V) Run #3";"Output Current Ch H (A) Run #3";"Angle (rad) Run #3";"Relative Intensity (%) Run #4";"Output Voltage Ch H (V) Run #4";"Output Current Ch H (A) Run #4";"Angle (rad) Run #4";"Relative Intensity (%) Run #5";"Output Voltage Ch H (V) Run #5";"Output Current Ch H (A) Run #5";"Angle (rad) Run #5";"Relative Intensity (%) Run #6";"Output Voltage Ch H (V) Run #6";"Output Current Ch H (A) Run #6";"Angle (rad) Run #6";"Relative Intensity (%) Run #7";"Output Voltage Ch H (V) Run #7";"Output Current Ch H (A) Run #7";"Angle (rad) Run #7";"Relative Intensity (%) Run #8";"Output Voltage Ch H (V) Run #8";"Output Current Ch H (A) Run #8";"Angle (rad) Run #8";"Relative Intensity (%) Run #9";"Output Voltage Ch H (V) Run #9";"Output Current Ch H (A) Run #9";"Angle (rad) Run #9";"Relative Intensity (%) Run #10";"Output Voltage Ch H (V) Run #10";"Output Current Ch H (A) Run #10";"Angle (rad) Run #10"
-0,01;3,51;0,50;0,000;0,69;4,02;0,53;0,000;-0,04;4,51;0,56;0,000;0,93;5,01;0,58;0,000;0,95;5,51;0,61;0,000;-0,82;6,02;0,64;0,000;0,57;6,52;0,66;0,000;-1,05;7,01;0,68;0,000;-1,05;7,51;0,70;0,000;-0,18;8,02;0,73;0,000
-0,01;3,51;0,50;0,000;0,62;4,02;0,53;0,000;-0,01;4,51;0,56;0,000;0,90;5,01;0,58;0,000;0,94;5,51;0,61;0,000;-0,93;6,02;0,64;0,000;0,56;6,52;0,66;0,000;-1,07;7,01;0,68;0,000;-1,12;7,51;0,70;0,000;-0,18;8,02;0,73;0,000
-0,05;3,51;0,50;0,000;0,69;4,02;0,53;0,000;0,06;4,51;0,56;0,000;0,79;5,01;0,58;0,000;0,97;5,51;0,61;0,000;-0,95;6,02;0,64;0,000;0,32;6,52;0,66;0,000;-1,07;7,01;0,68;0,000;-1,07;7,51;0,70;0,000;-0,10;8,02;0,73;0,000
-0,02;3,51;0,50;0,000;0,61;4,02;0,53;0,000;0,01;4,51;0,56;0,000;0,76;5,01;0,58;0,000;1,08;5,51;0,61;0,000;-0,93;6,02;0,63;0,000;0,40;6,52;0,66;0,000;-1,12;7,01;0,68;0,000;-1,09;7,51;0,70;0,000;-0,15;8,02;0,73;0,000
-0,04;3,51;0,50;0,000;0,61;4,02;0,53;0,000;0,05;4,51;0,56;0,000;0,79;5,01;0,58;0,000;0,98;5,51;0,61;0,000;-0,79;6,02;0,63;0,000;0,42;6,52;0,66;0,000;-1,07;7,01;0,68;0,000;-1,08;7,51;0,70;0,000;-0,08;8,02;0,73;0,000
-0,06;3,51;0,50;0,000;0,67;4,02;0,53;0,000;0,01;4,51;0,56;0,000;0,79;5,01;0,58;0,000;0,93;5,51;0,61;0,000;-0,80;6,02;0,63;0,000;0,28;6,52;0,66;0,000;-1,23;7,01;0,68;0,000;-1,14;7,51;0,70;0,000;-0,07;8,02;0,73;0,000
-0,04;3,51;0,50;0,000;0,65;4,02;0,53;0,000;-0,03;4,52;0,56;0,000;0,83;5,01;0,58;0,017;1,04;5,51;0,61;0,000;-1,09;6,02;0,63;0,000;0,36;6,52;0,66;0,000;-1,31;7,01;0,68;0,000;-1,19;7,51;0,70;0,000;-0,06;8,02;0,73;0,000
-0,02;3,51;0,50;0,000;0,54;4,02;0,53;0,000;0,04;4,52;0,56;0,000;0,83;5,01;0,58;0,017;0,89;5,51;0,61;0,000;-1,01;6,02;0,63;0,000;0,58;6,52;0,66;0,000;-1,21;7,01;0,68;0,000;-1,10;7,51;0,70;0,000;-0,09;8,02;0,73;0,000
-0,09;3,51;0,50;0,000;0,54;4,02;0,53;0,000;-0,01;4,52;0,56;0,000;0,85;5,01;0,58;0,017;0,85;5,51;0,61;0,000;-1,02;6,02;0,63;0,000;0,52;6,52;0,66;0,000;-1,17;7,01;0,68;0,000;-1,05;7,51;0,70;0,000;-0,12;8,02;0,72;0,000
-0,10;3,51;0,50;0,000;0,65;4,02;0,53;0,000;0,06;4,52;0,56;0,000;0,82;5,01;0,58;0,017;0,74;5,51;0,61;0,000;-1,08;6,02;0,63;0,000;0,47;6,52;0,66;0,000;-1,20;7,01;0,68;0,000;-1,05;7,51;0,70;0,000;-8,54E-4;8,02;0,72;0,000
-0,07;3,51;0,50;0,000;0,72;4,02;0,53;0,000;0,07;4,52;0,56;0,000;0,89;5,01;0,58;0,017;0,90;5,51;0,61;0,000;-0,91;6,02;0,63;0,000;0,50;6,52;0,66;0,000;-1,22;7,01;0,68;0,000;-1,07;7,51;0,70;0,000;-0,01;8,02;0,72;0,000
-0,07;3,51;0,50;0,000;0,21;4,02;0,53;0,000;0,09;4,52;0,56;0,000;0,90;5,01;0,58;0,017;0,76;5,51;0,61;0,000;-0,95;6,02;0,63;0,000;0,61;6,52;0,66;0,000;-1,17;7,01;0,68;0,000;-0,99;7,51;0,70;0,000;-0,06;8,02;0,72;0,000
-0,09;3,51;0,50;0,000;0,43;4,02;0,53;0,000;0,08;4,52;0,56;0,000;0,90;5,01;0,58;0,017;0,68;5,51;0,61;0,000;-1,00;6,02;0,63;0,000;0,62;6,52;0,66;0,000;-1,21;7,01;0,68;0,000;-1,12;7,51;0,70;0,000;-0,04;8,02;0,72;0,000
-0,12;3,51;0,50;0,000;0,64;4,02;0,53;0,000;0,02;4,52;0,56;0,000;0,95;5,01;0,58;0,017;1,01;5,51;0,61;0,000;-0,94;6,02;0,63;0,000;0,41;6,52;0,66;0,000;-1,01;7,01;0,68;0,000;-1,14;7,51;0,70;0,000;-2,59E-4;8,02;0,72;0,000
-0,16;3,51;0,50;0,000;0,58;4,02;0,53;0,000;-0,02;4,52;0,56;0,000;0,98;5,01;0,58;0,017;1,09;5,51;0,61;0,000;-0,93;6,02;0,63;0,000;0,41;6,52;0,66;0,000;-0,92;7,01;0,68;0,000;-1,17;7,51;0,70;0,000;-0,02;8,02;0,72;0,000
-0,30;3,51;0,50;0,000;0,67;4,02;0,53;0,000;0,03;4,52;0,56;0,000;0,98;5,01;0,58;0,017;0,95;5,51;0,61;0,000;-0,97;6,02;0,63;0,000;0,52;6,52;0,66;0,000;-1,13;7,01;0,68;0,000;-1,18;7,51;0,70;0,000;-0,02;8,02;0,72;0,000
-0,19;3,51;0,50;0,000;0,71;4,02;0,53;0,000;-0,01;4,52;0,56;0,000;0,96;5,01;0,58;0,017;0,93;5,51;0,61;0,000;-0,91;6,02;0,63;0,000;0,47;6,52;0,66;0,000;-1,04;7,01;0,68;0,000;-1,13;7,51;0,70;0,000;0,01;8,02;0,72;0,000
-0,01;3,51;0,50;0,000;0,64;4,02;0,53;0,000;-0,04;4,52;0,56;0,000;0,97;5,01;0,58;0,017;1,02;5,51;0,61;0,000;-0,83;6,02;0,63;0,000;0,60;6,52;0,66;0,000;-1,06;7,01;0,68;0,000;-1,11;7,51;0,70;0,000;-0,05;8,02;0,72;0,000
-0,01;3,51;0,50;0,000;0,57;4,02;0,53;0,000;-0,06;4,52;0,56;0,000;0,91;5,01;0,58;0,017;0,98;5,51;0,61;0,000;-0,91;6,02;0,63;0,017;0,56;6,52;0,66;0,000;-1,07;7,01;0,68;0,000;-1,15;7,51;0,70;0,000;-0,11;8,02;0,72;0,000
-0,05;3,51;0,50;0,000;0,61;4,02;0,53;0,000;0,00;4,52;0,56;0,000;0,88;5,01;0,58;0,017;0,81;5,51;0,61;0,000;-0,88;6,02;0,63;0,017;0,63;6,52;0,66;0,000;-1,06;7,01;0,68;0,000;-1,16;7,51;0,70;0,000;-0,08;8,02;0,72;0,000
4,12E-4;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,56;0,000;0,83;5,01;0,58;0,017;0,87;5,51;0,61;0,017;-0,90;6,02;0,63;0,017;0,47;6,52;0,66;0,000;-1,04;7,01;0,68;0,000;-1,17;7,51;0,70;0,000;-0,05;8,02;0,72;0,000
-0,03;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,56;0,000;0,96;5,01;0,58;0,017;0,95;5,51;0,61;0,017;-0,96;6,02;0,63;0,017;0,52;6,52;0,66;0,000;-0,95;7,01;0,68;0,000;-1,16;7,51;0,70;0,000;-0,06;8,02;0,72;0,000
-0,01;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,56;0,000;0,96;5,01;0,58;0,017;0,89;5,51;0,61;0,017;-0,80;6,02;0,63;0,017;0,65;6,52;0,66;0,000;-1,07;7,01;0,68;0,000;-1,15;7,51;0,70;0,000;-0,08;8,02;0,72;0,000
-0,05;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,56;0,000;0,92;5,01;0,58;0,017;0,84;5,51;0,61;0,017;-0,88;6,02;0,63;0,017;0,63;6,52;0,66;0,000;-0,93;7,01;0,68;0,000;-1,12;7,51;0,70;0,000;-0,02;8,02;0,72;0,000
-0,07;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,56;0,000;0,96;5,02;0,58;0,017;0,75;5,51;0,61;0,017;-0,95;6,02;0,63;0,017;0,60;6,52;0,66;0,000;-1,13;7,01;0,68;0,000;-1,16;7,51;0,70;0,000;-0,06;8,02;0,72;0,000
-0,19;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,56;0,000;0,98;5,02;0,58;0,017;0,68;5,51;0,61;0,017;0,00;6,02;0,63;0,000;0,54;6,52;0,66;0,000;-1,03;7,01;0,68;0,000;-1,16;7,51;0,70;0,000;-0,02;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,56;0,000;0,84;5,02;0,58;0,017;0,89;5,51;0,61;0,017;0,00;6,02;0,63;0,000;0,57;6,52;0,66;0,000;-1,14;7,02;0,68;0,000;-1,17;7,51;0,70;0,000;-0,02;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,55;0,000;0,83;5,02;0,58;0,017;0,88;5,51;0,61;0,017;0,00;6,02;0,63;0,000;0,62;6,52;0,66;0,000;-1,12;7,02;0,68;0,000;-1,08;7,51;0,70;0,000;-0,05;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,55;0,000;0,76;5,02;0,58;0,017;0,84;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,55;6,52;0,66;0,000;-1,09;7,02;0,68;0,000;-1,09;7,51;0,70;0,000;-0,02;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,55;0,000;0,75;5,02;0,58;0,017;0,95;5,51;0,61;0,000;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;-1,05;7,02;0,68;0,000;-1,14;7,51;0,70;0,000;0,02;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,53;0,000;0,00;4,52;0,55;0,000;0,82;5,02;0,58;0,017;0,87;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;-1,15;7,51;0,70;0,000;-0,19;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,88;5,02;0,58;0,017;0,79;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;-1,18;7,51;0,70;0,000;-0,08;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,92;5,02;0,58;0,017;0,81;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,03;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,94;5,02;0,58;0,017;0,85;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,05;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,86;5,02;0,58;0,000;0,87;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,04;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,81;5,02;0,58;0,000;0,96;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,03;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,88;5,02;0,58;0,000;0,85;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,04;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,89;5,02;0,58;0,000;0,90;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,04;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,91;5,02;0,58;0,000;0,95;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,03;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,80;5,02;0,58;0,000;0,97;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,01;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,89;5,02;0,58;0,000;0,96;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,02;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,84;5,02;0,58;0,000;0,00;5,51;0,61;0,000;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,05;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,77;5,02;0,58;0,000;0,00;5,51;0,61;0,000;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,01;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,80;5,02;0,58;0,000;0,00;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,66;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,02;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,69;5,02;0,58;0,000;0,00;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-9,31E-4;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,75;5,02;0,58;0,017;0,00;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,01;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,84;5,02;0,58;0,017;0,00;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,01;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,77;5,02;0,58;0,000;0,00;5,51;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,05;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,71;5,02;0,58;0,000;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,017;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,07;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,72;5,02;0,58;0,000;0,00;5,51;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,04;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,00;5,02;0,58;0,000;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-9,16E-4;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,00;5,02;0,58;0,000;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,05;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,00;5,02;0,58;0,000;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,01;8,02;0,72;0,000
0,00;3,52;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,01;8,02;0,72;0,000
0,00;3,51;0,50;0,000;0,00;4,02;0,52;0,000;0,00;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,07;8,02;0,72;0,000
0,00;3,52;0,50;0,000;0,00;4,02;0,52;0,000;-0,01;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,00;8,02;0,72;0,000
0,00;3,52;0,50;0,000;0,00;4,02;0,52;0,000;0,08;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,00;8,02;0,72;0,000
0,00;3,52;0,50;0,000;-0,01;4,02;0,52;0,000;0,06;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;0,01;8,02;0,72;0,000
0,00;3,52;0,50;0,000;-0,02;4,02;0,52;0,000;-0,04;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,51;0,70;0,000;-0,09;8,02;0,72;-0,017
0,00;3,52;0,50;0,000;-0,02;4,02;0,52;0,000;-0,03;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;-0,11;8,02;0,72;-0,017
0,00;3,52;0,50;0,000;-0,12;4,02;0,52;0,000;-0,13;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;-0,017
0,00;3,52;0,50;0,000;-0,35;4,02;0,52;0,000;-0,09;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;0,00;6,02;0,63;0,000;0,00;6,52;0,65;-0,017;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;-0,017
-0,02;3,52;0,50;0,000;-0,45;4,02;0,52;0,000;0,16;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;-0,06;6,02;0,63;0,000;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;-0,017
0,02;3,52;0,50;0,000;-0,55;4,02;0,52;0,000;0,10;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,61;0,017;-0,06;6,02;0,63;0,000;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;0,000
0,10;3,52;0,50;0,000;-0,40;4,02;0,52;0,000;3,05E-5;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,60;0,000;-0,11;6,02;0,63;0,000;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;0,000
0,06;3,52;0,50;0,000;-0,37;4,02;0,52;0,000;-0,01;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,60;0,000;-0,07;6,02;0,63;0,000;0,00;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;0,000
0,01;3,52;0,50;0,000;-0,46;4,02;0,52;0,000;0,08;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,60;0,000;-0,17;6,02;0,63;0,000;0,01;6,52;0,65;0,000;0,00;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;0,000
0,06;3,52;0,50;0,000;-0,67;4,02;0,52;0,000;0,02;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,60;0,000;-0,11;6,02;0,63;0,000;-0,02;6,52;0,65;0,000;-0,07;7,02;0,68;0,000;0,00;7,52;0,70;0,000;0,00;8,02;0,72;0,000
0,09;3,52;0,50;0,000;-0,56;4,02;0,52;0,017;0,01;4,52;0,55;0,000;0,00;5,02;0,58;0,017;0,00;5,52;0,60;0,000;-0,15;6,02;0,63;0,000;-0,04;6,52;0,65;0,000;-0,01;7,02;0,68;0,000;-0,18;7,52;0,70;0,000;0,00;8,02;0,72;0,000
